Suicide & Self-Inflicted Injury Death Rates  Table for New York by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Sullivan County",36105,12.2 ,9.1, 16.1,11,*,*,*,*
"Herkimer County",36043,12.1 ,8.3, 16.9,8,*,*,*,*
"Clinton County",36019,11.5 ,8.3, 15.5,9,*,*,*,*
"Essex County",36031,11.3 ,6.6, 17.9,4,*,*,*,*
"Broome County",36007,11 ,8.9, 13.4,21,stable,1.7 ,-0.4, 3.9
"Warren County",36113,10.9 ,7.4, 15.5,7,*,*,*,*
"Onondaga County",36067,10.8 ,9.5, 12.3,52,rising,1.9 ,0.8, 3.1
"Rensselaer County",36083,10.7 ,8.5, 13.3,17,stable,2.4 ,0.0, 5.1
"Monroe County",36055,10 ,9, 11.1,79,rising,2.4 ,1.0, 3.9
"Saratoga County",36091,10 ,8.3, 12,25,stable,0.5 ,-2.5, 2.1
"Orange County",36071,9.5 ,8.2, 11,39,stable,1.2 ,-0.7, 3.3
"Erie County",36029,9.5 ,8.7, 10.5,95,stable,-2.3 ,-8.4, 0.9
"Cortland County",36023,9.3 ,5.6, 14.4,4,*,*,*,*
"Albany County",36001,9.2 ,7.7, 10.8,31,stable,1.6 ,-0.3, 3.6
"Schenectady County",36093,9.1 ,7.1, 11.5,15,stable,0.9 ,-2.3, 4.2
"Orleans County",36073,8.8 ,5.5, 13.6,5,*,*,*,*
"Suffolk County",36103,8.3 ,7.7, 9,134,stable,-0.9 ,-3.0, 0.6
"Westchester County",36119,7 ,6.3, 7.8,73,rising,2.5 ,1.3, 3.8
"New York County",36061,6.9 ,6.4, 7.5,130,stable,-0.2 ,-1.4, 0.9
"Richmond County",36085,6.5 ,5.6, 7.6,35,rising,0.9 ,0.1, 1.7
"Putnam County",36079,6.3 ,4.4, 8.9,8,*,*,*,*
"Queens County",36081,5.8 ,5.4, 6.2,148,stable,0.0 ,-4.2, 0.8
"Nassau County",36059,5.6 ,5.1, 6.2,83,stable,-3.1 ,-11.5, 0.5
"Rockland County",36087,5.6 ,4.5, 6.9,19,*,*,*,*
"Kings County",36047,5.4 ,5, 5.8,150,rising,5.8 ,1.7, 9.4
"Bronx County",36005,5.2 ,4.7, 5.8,77,stable,-0.1 ,-1.2, 1.1
"Hamilton County",36041,* ,*, *,3 or fewer,*,*,*,*
"Schuyler County",36097,* ,*, *,3 or fewer,*,*,*,*

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 12/5/2024. Available from https://hdpulse.nimhd.nih.gov

Notes:


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.


"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of deaths for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3). Data may also be suppressed until more complete data become available."

"(†) Death rates (deaths per 100,000 population per year) are age-adjusted to the 2000 US standard population [https://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for mortality data. \n"
State Health Departments [ https://www.usa.gov/state-health ] may provide more current or more local data.
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint Regression Program (Version 4.9.0.0). Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
"For more information about Suicide & Self-Inflicted Injury, see the definitions at http://hdpulse.nimhd.nih.gov/data/cod.html#suicide."
Data for United States does not include Puerto Rico.

"Please note that the data comes from different sources. Due to different years ( https://hdpulse.nimhd.nih.gov/data/historicaltrend/differences.html ) of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting mortality statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional deaths) has a dramatic effect on the calculated rate."
"Rural-Urban Continuum Codes (developed by the United States Department of Agriculture (USDA) [ https://www.ers.usda.gov/data-products/rural-urban-continuum-codes.aspx ] ) are used on this website to distinguish which counties are rural and urban; additionally, how much of a state’s population is classified as rural or urban. For more information about using Rural-Urban Continuum Codes, go to the rural urban [ http://hdpulse.nimhd.nih.gov/data/ruralurban.html ] page."

